code,gu,dong,older,disableratio,fireratio,bankratio,seniorcenterratio,movinginrartio,movingoutratio
노원구월계2동,노원구,월계2동,1109,0.072229465,0.000293351,3.25945E-05,0.000521512,0.099250326,0.121153846
노원구월계3동,노원구,월계3동,825,0.055215917,0.000166732,8.33658E-05,0.000333463,0.111126549,0.13446896
노원구공릉2동,노원구,공릉2동,686,0.033093525,0.000423191,0.000169276,0.000402031,0.151523487,0.147820567
노원구하계1동,노원구,하계1동,869,0.069372024,0.000226706,9.71597E-05,0.000842051,0.122162127,0.130258769
노원구하계2동,노원구,하계2동,502,0.041830671,0.000270124,3.85892E-05,0.000540249,0.11194721,0.124372926
노원구중계본동,노원구,중계본동,495,0.033122293,0.000399867,9.99667E-05,0.000199933,0.106764412,0.121226258
노원구중계1동,노원구,중계1동,401,0.02755092,0.000360786,0.000196792,0.000590377,0.124635114,0.13391715
노원구중계4동,노원구,중계4동,614,0.059427408,0.000663746,0.000132749,0.000619496,0.128147263,0.142262932
노원구상계1동,노원구,상계1동,1647,0.044050679,0.000338158,4.50877E-05,0.000225438,0.116438974,0.126290635
노원구상계2동,노원구,상계2동,483,0.040405381,0.000575323,8.85112E-05,0.000619579,0.147990795,0.169676049
노원구상계5동,노원구,상계5동,631,0.045331585,0.000860726,8.19739E-05,0.001147635,0.144438069,0.157062054
노원구상계8동,노원구,상계8동,396,0.029320594,0.000364684,0.000109405,0.000510558,0.150541556,0.170088618
노원구상계9동,노원구,상계9동,482,0.031310445,0.000362669,0.000161186,0.000644745,0.130520632,0.152562863
노원구상계10동,노원구,상계10동,393,0.028583844,0.000193134,9.6567E-05,0.000386268,0.149775482,0.168364637
노원구상계3.4동,노원구,상계3.4동,1450,0.05550746,0.000483781,2.54621E-05,0.000229159,0.102255945,0.12756531
노원구상계6.7동,노원구,상계6.7동,884,0.033895116,0.000349434,0.000403193,0.000134398,0.134800957,0.151627557
노원구중계2.3동,노원구,중계2.3동,1256,0.07803659,0.000259336,7.0728E-05,9.4304E-05,0.108096002,0.122194455
노원구공릉1동,노원구,공릉1동,930,0.055147695,0.000370782,0.000173032,0.000123594,0.135879372,0.148757879
은평구녹번동,은평구,녹번동,1093,0.041976859,0.000568063,5.97961E-05,0.000239184,0.144766347,0.169402338
은평구불광1동,은평구,불광1동,1108,0.037527855,0.000331895,0.000118534,0.000189654,0.143829121,0.147693329
은평구갈현1동,은평구,갈현1동,755,0.041677678,0.000453018,0.000151006,0.000302012,0.147344181,0.164105855
은평구갈현2동,은평구,갈현2동,596,0.036501401,0.000553576,0.000103795,0.000276788,0.167006885,0.156419749
은평구구산동,은평구,구산동,677,0.070276262,0.00049593,0,0.000233379,0.149595963,0.146328656
은평구대조동,은평구,대조동,949,0.041570439,0.000436927,0.000218463,0.000249672,0.166812309,0.162755134
은평구응암1동,은평구,응암1동,861,0.041820266,0.000340758,0.000216846,0.000247824,0.15402249,0.166134878
은평구응암2동,은평구,응암2동,725,0.041321686,0.000417774,3.79795E-05,0.000303836,0.36714774,0.128028864
은평구신사1동,은평구,신사1동,544,0.040984185,0.000423609,7.06015E-05,0.000282406,0.162348207,0.164642756
은평구신사2동,은평구,신사2동,536,0.041078195,0.000559766,0,0.000344471,0.136367551,0.159490183
은평구증산동,은평구,증산동,515,0.041656872,0.000282101,4.70168E-05,0.000376134,0.13380977,0.15487329
은평구수색동,은평구,수색동,697,0.05119765,0.000658328,0.000151922,0.000405125,0.113738796,0.146756469
은평구진관동,은평구,진관동,576,0.036606226,0.000301866,0.000181119,0.000160995,0.175846733,0.116540219
은평구불광2동,은평구,불광2동,1102,0.047801335,0.000425337,6.54365E-05,0.000261746,0.137612878,0.152826855
은평구응암3동,은평구,응암3동,935,0.045522977,0.000537673,0.000143379,0.000286759,0.164456233,0.168936841
은평구역촌동,은평구,역촌동,1047,0.040992931,0.000385959,8.12546E-05,0.000162509,0.15743073,0.157308849
서대문구천연동,서대문구,천연동,297,0.041550569,0.000146649,4.8883E-05,0.000635479,0.150168646,0.159945251
서대문구홍제1동,서대문구,홍제1동,781,0.038504364,0.000359183,0.000107755,0.000287346,0.134046909,0.154699903
서대문구홍제3동,서대문구,홍제3동,331,0.04691504,0.000394244,0.000147842,0.000443525,0.121919968,0.146954465
서대문구홍제2동,서대문구,홍제2동,366,0.039304326,0.000188359,0.000188359,0.000502292,0.128398317,0.156903372
서대문구홍은1동,서대문구,홍은1동,1212,0.04419022,0.000523404,3.7386E-05,0.00037386,0.109241812,0.117578884
서대문구홍은2동,서대문구,홍은2동,867,0.041960133,0.000365449,0.00013289,0.000232558,0.140398671,0.159036545
서대문구남가좌1동,서대문구,남가좌1동,356,0.041089109,0.000742574,0.000990099,0.000247525,0.129207921,0.21460396
서대문구남가좌2동,서대문구,남가좌2동,709,0.047139352,0.000226011,0.000161436,0.000355159,0.130634121,0.153687201
서대문구북가좌1동,서대문구,북가좌1동,847,0.032753267,0.000175778,0,0.000292963,0.467041659,0.087947501
서대문구북가좌2동,서대문구,북가좌2동,720,0.042205899,0.000349773,0.000116591,0.000204034,0.132592981,0.156406669
서대문구충현동,서대문구,충현동,173,0.037881344,0.000771121,0.000530146,0.00019278,0.132488313,0.19538291
서대문구북아현동,서대문구,북아현동,942,0.041061726,0.000267213,0.000178142,0.000445355,0.133161129,0.183486239
서대문구신촌동,서대문구,신촌동,330,0.025433151,0.001992032,0.000694895,0.000231632,0.227091633,0.226721023
서대문구연희동,서대문구,연희동,869,0.035168935,0.000852161,0.000230314,0.000230314,0.137727723,0.155600083
마포구용강동,마포구,용강동,419,0.028397041,0.000465525,0.000568975,0.0004138,0.142347282,0.171985724
마포구대흥동,마포구,대흥동,561,0.037447291,0.000629366,0.000251746,0.000503493,0.183271446,0.198879728
마포구염리동,마포구,염리동,562,0.042278495,0.000498698,5.54109E-05,0.000443287,0.132487394,0.168282817
마포구신수동,마포구,신수동,495,0.034761883,0.00022485,8.99402E-05,0.000359761,0.141385978,0.209830463
마포구서교동,마포구,서교동,600,0.027499915,0.001525889,0.000915534,0.000271269,0.23386796,0.226679326
마포구합정동,마포구,합정동,487,0.032759039,0.000679447,0.000145596,0.000388255,0.179907789,0.202717787
마포구망원1동,마포구,망원1동,596,0.039903807,0.000203799,8.15195E-05,0.000326078,0.163691204,0.180891824
마포구망원2동,마포구,망원2동,443,0.039859485,0.000468384,0.000140515,0.000374707,0.136861827,0.160468384
마포구연남동,마포구,연남동,497,0.033561034,0.000693001,4.95E-05,0.000396,0.181764182,0.195822196
마포구성산1동,마포구,성산1동,454,0.035841288,0.000327531,0.000140371,0.000374322,0.178504585,0.173123713
마포구성산2동,마포구,성산2동,938,0.048029286,0.000317267,7.32154E-05,0.000195241,0.113752288,0.132690665
마포구상암동,마포구,상암동,376,0.038253317,0.000594919,0.000356952,0.000237968,0.124070438,0.13055506
마포구도화동,마포구,도화동,601,0.03540569,0.000421496,0.000379347,0.000337197,0.132771338,0.146132771
마포구서강동,마포구,서강동,465,0.027873204,0.000507495,0.000156152,0.000312305,0.16509213,0.184845409
마포구공덕동,마포구,공덕동,1182,0.042947924,0.000457752,0.000350046,0.000215413,0.154235554,0.16115569
마포구아현동,마포구,아현동,540,0.036977988,0.000411438,0.000411438,0.000411438,0.139220325,0.152797778
양천구목1동,양천구,목1동,331,0.021788715,0.00045018,0.000480192,0.00045018,0.121638655,0.130762305
양천구목2동,양천구,목2동,575,0.031921885,0.000438144,6.25919E-05,0.000438144,0.1582637,0.161236817
양천구목3동,양천구,목3동,572,0.03960396,0.00038743,0.000172191,0.000344382,0.159448988,0.171631511
양천구목4동,양천구,목4동,414,0.031638968,0.000451985,0.000104304,0.000312913,0.141784299,0.150128642
양천구신월1동,양천구,신월1동,599,0.05105704,0.000319107,0.000159553,0.000199442,0.140845632,0.154567212
양천구신월2동,양천구,신월2동,398,0.046035806,0.000331534,9.47239E-05,0.000473619,0.163588141,0.146111585
양천구신월3동,양천구,신월3동,548,0.051850617,0.000611315,5.55741E-05,0.00027787,0.159997777,0.201789485
양천구신월4동,양천구,신월4동,337,0.044071844,0.000467193,5.19103E-05,0.000622924,0.140884551,0.152097176
양천구신월5동,양천구,신월5동,318,0.045671022,0.000549518,6.10575E-05,0.000366345,0.154658688,0.151544755
양천구신월6동,양천구,신월6동,312,0.044662727,0.0003837,0.00015348,0.000613921,0.126083954,0.16023329
양천구신월7동,양천구,신월7동,541,0.044268148,0.000634669,7.93336E-05,0.000317334,0.116184054,0.139071797
양천구신정1동,양천구,신정1동,294,0.024776862,0.00014632,0.00029264,0.000243867,0.101838755,0.188606545
양천구신정2동,양천구,신정2동,357,0.035079968,0.000485995,8.83626E-05,0.00066272,0.111602015,0.129274543
양천구신정3동,양천구,신정3동,1018,0.04081283,0.000411212,8.56692E-05,0.000496882,0.12310671,0.122318553
양천구신정6동,양천구,신정6동,266,0.019804536,0.0001844,0.00029504,0.00025816,0.113737784,0.130075604
양천구신정7동,양천구,신정7동,714,0.041759432,0.000361033,0.00015043,0.000391119,0.107377099,0.11847885
양천구목5동,양천구,목5동,521,0.017077384,0.000174928,0.000306125,0.000306125,0.10519756,0.114031443
양천구신정4동,양천구,신정4동,746,0.044126638,0.000797469,0.000212658,0.000239241,0.150828039,0.157447035
강서구염창동,강서구,염창동,453,0.028598197,0.000351329,0.00011711,0.000772924,0.114978335,0.121911231
강서구등촌1동,강서구,등촌1동,486,0.033911741,0.00035233,0.000176165,0.000748701,0.190081917,0.177089756
강서구등촌2동,강서구,등촌2동,309,0.032263863,0.000269614,8.98715E-05,0.000404422,0.135256583,0.152556844
강서구등촌3동,강서구,등촌3동,1236,0.098103545,0.000400096,0.000213385,0.000453442,0.110773252,0.121282441
강서구화곡본동,강서구,화곡본동,605,0.039317948,0.000459385,5.40453E-05,0.000189159,0.167540399,0.173863698
