code,gu,dong,disable,fire,bank,seniorcenter,movingin,movingout,older,older2013
구로구개봉2동,구로구,개봉2동,1339,13,3,8,4501,4745,571,809
구로구개봉3동,구로구,개봉3동,924,5,2,8,3208,2986,307,638
구로구오류1동,구로구,오류1동,1026,10,5,8,3438,3421,628,762
구로구오류2동,구로구,오류2동,1849,18,1,8,5571,4289,659,1057
구로구수궁동,구로구,수궁동,1193,10,1,8,3406,3741,560,792
구로구가리봉동,구로구,가리봉동,857,12,1,8,1617,2444,692,1045
구로구구로2동,구로구,구로2동,1602,27,12,8,4105,5007,1027,1509
구로구개봉1동,구로구,개봉1동,1521,12,3,8,4096,4682,789,1182
금천구가산동,금천구,가산동,834,25,34,8,3883,4040,588,546
금천구독산1동,금천구,독산1동,1707,29,7,16,5999,6054,693,670
금천구독산2동,금천구,독산2동,945,8,3,3,3060,3622,561,602
금천구독산3동,금천구,독산3동,1278,27,3,5,3696,4232,744,774
금천구독산4동,금천구,독산4동,768,10,2,5,2862,3041,399,455
금천구시흥1동,금천구,시흥1동,1605,26,10,10,6613,5028,967,1024
금천구시흥2동,금천구,시흥2동,1173,9,2,10,2902,3158,434,494
금천구시흥3동,금천구,시흥3동,620,11,5,4,1650,1691,339,367
금천구시흥4동,금천구,시흥4동,1031,6,1,7,3064,3454,547,598
금천구시흥5동,금천구,시흥5동,1249,13,1,7,2911,3498,776,824
영등포구여의도동,영등포구,여의도동,964,26,81,8,3889,4313,726,905
영등포구당산1동,영등포구,당산1동,964,14,6,14,3640,4253,567,695
영등포구당산2동,영등포구,당산2동,964,18,8,20,5500,5841,503,633
영등포구양평1동,영등포구,양평1동,964,11,3,16,2904,3073,407,475
영등포구양평2동,영등포구,양평2동,964,14,3,16,3218,3436,333,387
영등포구신길1동,영등포구,신길1동,964,14,2,8,3223,3703,710,861
영등포구신길3동,영등포구,신길3동,964,8,5,8,1862,2721,497,564
영등포구신길4동,영등포구,신길4동,964,7,1,5,1429,1782,453,545
영등포구신길5동,영등포구,신길5동,964,5,0,6,2139,2801,510,655
영등포구신길6동,영등포구,신길6동,964,13,2,12,3139,3902,635,729
영등포구신길7동,영등포구,신길7동,964,9,1,5,3032,3756,278,386
영등포구대림1동,영등포구,대림1동,964,6,4,5,2245,2832,503,579
영등포구대림2동,영등포구,대림2동,964,12,2,8,2447,3196,592,649
영등포구대림3동,영등포구,대림3동,964,22,7,11,3732,4619,550,670
영등포구영등포본동,영등포구,영등포본동,964,12,0,9,3671,4159,682,842
영등포구영등포동,영등포구,영등포동,964,37,20,21,4060,3619,920,1090
영등포구도림동,영등포구,도림동,964,4,1,8,3086,3373,540,665
영등포구문래동,영등포구,문래동,964,20,11,28,4407,4761,621,756
동작구노량진2동,동작구,노량진2동,695,16,4,2,2518,3044,536,622
동작구상도1동,동작구,상도1동,1529,24,7,18,9829,6670,813,1031
동작구상도2동,동작구,상도2동,1002,21,4,12,4415,4734,236,723
동작구상도3동,동작구,상도3동,1130,11,3,5,3769,4037,451,685
동작구상도4동,동작구,상도4동,1314,11,1,5,4102,4380,663,750
동작구사당1동,동작구,사당1동,810,8,9,4,4810,4819,487,553
동작구사당3동,동작구,사당3동,840,5,3,10,4373,4077,517,602
동작구사당4동,동작구,사당4동,588,8,0,6,2841,2963,355,429
동작구사당5동,동작구,사당5동,567,6,0,6,2539,2941,378,349
동작구대방동,동작구,대방동,1644,18,6,16,6046,6198,814,848
동작구신대방1동,동작구,신대방1동,871,10,4,11,3381,3825,497,556
동작구신대방2동,동작구,신대방2동,775,15,8,5,3894,3948,417,472
동작구흑석동,동작구,흑석동,1388,14,8,13,5989,4584,1084,1323
동작구노량진1동,동작구,노량진1동,1342,32,6,19,5881,5752,1325,1015
동작구사당2동,동작구,사당2동,936,10,2,11,4273,4701,402,782
관악구보라매동,관악구,보라매동,964,28,4,3,3950,4461,693,703
관악구청림동,관악구,청림동,964,9,1,6,2511,2999,463,445
관악구행운동,관악구,행운동,964,20,5,6,6017,6315,742,727
관악구낙성대동,관악구,낙성대동,964,10,4,6,4390,4527,410,398
관악구중앙동,관악구,중앙동,964,19,3,4,3143,3276,454,433
관악구인헌동,관악구,인헌동,964,21,4,5,4883,5109,537,553
관악구남현동,관악구,남현동,964,11,0,3,3954,3956,346,345
관악구서원동,관악구,서원동,964,19,3,5,5174,5664,474,480
관악구신원동,관악구,신원동,964,12,1,6,3415,3776,581,573
관악구서림동,관악구,서림동,964,10,1,3,5513,5778,532,486
관악구신사동,관악구,신사동,964,19,1,3,4617,4927,607,595
관악구신림동,관악구,신림동,964,29,5,4,6074,5842,378,371
관악구난향동,관악구,난향동,964,11,2,9,2185,2514,409,355
관악구조원동,관악구,조원동,964,23,2,4,3503,3653,498,489
관악구대학동,관악구,대학동,964,20,11,4,5740,5602,424,418
관악구은천동,관악구,은천동,964,29,0,10,5157,5575,771,789
관악구성현동,관악구,성현동,964,12,0,10,4199,4522,800,798
관악구청룡동,관악구,청룡동,964,46,7,8,7124,7621,845,836
관악구난곡동,관악구,난곡동,964,17,2,8,3664,4210,860,863
관악구삼성동,관악구,삼성동,964,21,0,11,3000,3477,1065,1033
관악구미성동,관악구,미성동,964,23,4,9,4453,4759,736,745
서초구서초1동,서초구,서초1동,479,11,17,8,4141,4244,371,369
서초구서초2동,서초구,서초2동,463,11,27,8,3626,3872,310,309
서초구서초3동,서초구,서초3동,707,30,45,8,5130,5547,565,445
서초구서초4동,서초구,서초4동,475,15,20,8,4008,4416,362,361
서초구잠원동,서초구,잠원동,689,19,12,8,5004,6672,617,558
서초구반포본동,서초구,반포본동,241,4,7,8,1925,1883,200,204
서초구반포1동,서초구,반포1동,647,14,12,8,6175,6026,518,470
서초구반포2동,서초구,반포2동,365,4,10,8,2984,3867,256,254
서초구반포3동,서초구,반포3동,452,8,8,8,3257,3567,391,383
서초구반포4동,서초구,반포4동,392,9,21,8,2973,3364,295,295
서초구방배본동,서초구,방배본동,517,12,8,8,3414,3635,349,353
서초구방배1동,서초구,방배1동,490,9,5,8,3214,3211,301,301
서초구방배2동,서초구,방배2동,961,10,2,8,4657,4838,527,385
서초구방배3동,서초구,방배3동,641,6,5,8,3726,4253,485,483
서초구방배4동,서초구,방배4동,678,7,16,8,4595,4825,450,420
서초구양재1동,서초구,양재1동,1390,19,12,8,9100,4427,604,602
서초구양재2동,서초구,양재2동,710,27,15,8,4256,4696,410,399
서초구내곡동,서초구,내곡동,405,15,0,8,844,1028,235,218
강남구신사동,강남구,신사동,415,22,17,5,3113,3633,361,432
강남구논현1동,강남구,논현1동,692,35,17,6,5951,6884,443,500
강남구논현2동,강남구,논현2동,555,36,31,7,4437,5242,354,426
강남구삼성1동,강남구,삼성1동,367,27,38,6,2612,2805,225,264
강남구삼성2동,강남구,삼성2동,670,14,22,13,6018,6465,421,479
강남구대치1동,강남구,대치1동,250,4,19,9,2773,3234,146,172
강남구대치4동,강남구,대치4동,426,16,22,4,5339,5650,298,330
강남구역삼1동,강남구,역삼1동,824,70,66,7,9250,9740,533,623
강남구역삼2동,강남구,역삼2동,707,19,21,13,7132,7014,451,523
강남구도곡1동,강남구,도곡1동,452,4,13,9,3341,3685,342,397
강남구도곡2동,강남구,도곡2동,499,6,24,7,4745,5088,409,496
강남구개포1동,강남구,개포1동,685,4,3,7,3157,3527,541,602
강남구개포4동,강남구,개포4동,669,16,5,6,3487,3989,358,416
강남구일원본동,강남구,일원본동,584,7,6,10,2866,3102,300,328
강남구일원1동,강남구,일원1동,1107,8,3,4,2529,2705,493,528
강남구일원2동,강남구,일원2동,1180,2,4,9,2348,2835,455,484
강남구수서동,강남구,수서동,2051,2,4,9,1960,2474,785,856
강남구세곡동,강남구,세곡동,754,12,0,12,5415,1454,252,348
강남구압구정동,강남구,압구정동,519,27,37,6,3720,3944,619,719
강남구청담동,강남구,청담동,673,26,21,13,5507,5358,463,581
강남구대치2동,강남구,대치2동,750,15,28,11,6044,6641,431,488
